store_id,category,promo_lift
S001,beverages,0.44140265933725886
S001,fresh,0.5711461539348248
S001,household,0.5433227326539614
S001,personal_care,0.5770496909800145
S001,ready_to_eat,0.4711072286525442
S001,snacks,0.4733505451000024
S002,beverages,0.4708446662364003
S002,fresh,0.4480950521559659
S002,household,0.422189101268198
S002,personal_care,0.4708543653019257
S002,ready_to_eat,0.4256058856562368
S002,snacks,0.47719279735527875
S003,beverages,0.47942405523255816
S003,fresh,0.5274148330643107
S003,household,0.5695531896452097
S003,personal_care,0.5056472963449707
S003,ready_to_eat,0.4300027235812618
S003,snacks,0.43988569805184996
S004,beverages,0.4756363104610122
S004,fresh,0.40662247747924973
S004,household,0.49432245627233384
S004,personal_care,0.4585222121486854
S004,ready_to_eat,0.5109533867085809
S004,snacks,0.45137305720672427
S005,beverages,0.4438021690988587
S005,fresh,0.5136666183792191
S005,household,0.4953376262359688
S005,personal_care,0.4897862833947404
S005,ready_to_eat,0.4718556664163358
S005,snacks,0.4937907460267119
S006,beverages,0.5040975283094471
S006,fresh,0.5274424924165824
S006,household,0.46308691133126123
S006,personal_care,0.4986269167646149
S006,ready_to_eat,0.49621630694772745
S006,snacks,0.5484711580676684
S007,beverages,0.47877890290895064
S007,fresh,0.4960030071419621
S007,household,0.5401698844574654
S007,personal_care,0.3856690067833761
S007,ready_to_eat,0.4568090421642701
S007,snacks,0.4195125896371381
S008,beverages,0.4767420549509742
S008,fresh,0.5386804669452654
S008,household,0.44721970475097184
S008,personal_care,0.53133374561946
S008,ready_to_eat,0.46179187192118243
S008,snacks,0.5191700736439786
S009,beverages,0.4120326391426137
S009,fresh,0.5373172540433646
S009,household,0.5819852941176469
S009,personal_care,0.5830312793663577
S009,ready_to_eat,0.45545395796965216
S009,snacks,0.44955119680851063
S010,beverages,0.4312419205306661
S010,fresh,0.4463049440943596
S010,household,0.5142568172093203
S010,personal_care,0.5710982988925677
S010,ready_to_eat,0.4433091460624272
S010,snacks,0.5009371471146347
S011,beverages,0.37308063535156766
S011,fresh,0.5444187908250282
S011,household,0.5011640325929128
S011,personal_care,0.4021185365441047
S011,ready_to_eat,0.47958334418492465
S011,snacks,0.4742029119411144
S012,beverages,0.44831353305785115
S012,fresh,0.5046034207918659
S012,household,0.5729377274565306
S012,personal_care,0.6158461972162588
S012,ready_to_eat,0.46279529300734357
S012,snacks,0.45451203864019685
S013,beverages,0.44899315314605803
