store_id,avg_orders,avg_stockout_minutes,avg_refund_rate,avg_gmv,high_orders_high_stockout_flag
S001,44.16438356164384,27.719826484018263,0.07367308043875685,1029.2282009132418,0
S002,54.00410958904109,27.1794200913242,0.07290902427851581,1261.981799086758,0
S003,40.79817351598174,27.456589041095892,0.07359308924485126,944.3973926940639,0
S004,46.62694063926941,27.707525114155253,0.07335016003657979,1085.6031689497718,0
S005,46.14977168949772,27.354922374429222,0.07368586459286368,1071.0054429223744,0
S006,41.4041095890411,27.81021917808219,0.07369012797074954,962.0378538812785,0
S007,52.88310502283105,27.504077625570776,0.07386105263157895,1229.8708127853881,0
S008,44.276712328767125,26.94819178082192,0.0730751828153565,1027.7281232876712,0
S009,50.96529680365297,27.418041095890413,0.07346819221967962,1190.3359543378997,0
S010,45.512328767123286,27.312493150684933,0.07327840440165062,1057.8851324200914,0
S011,43.172146118721464,26.720383561643835,0.07288394327538883,1002.2925296803653,0
S012,45.74155251141553,28.273200913242007,0.0734462912087912,1064.6710410958904,0
S013,49.278538812785385,27.42000913242009,0.0736381801554641,1151.3077488584477,0
S014,42.97260273972603,27.824785388127854,0.07357472577696526,995.1447671232877,0
S015,41.49589041095891,27.5002100456621,0.07290690127970749,960.0370684931507,0
S016,48.592237442922375,27.931255707762556,0.07374186471663619,1127.8291643835616,1
S017,40.05296803652968,27.64559817351598,0.07348774016468436,927.380698630137,0
S018,36.034246575342465,27.7913698630137,0.07368948331047095,833.3880410958905,0
S019,37.320547945205476,27.72931506849315,0.07361999085086916,864.2591598173516,0
S020,46.550228310502284,27.624123287671235,0.0732293607305936,1084.4843744292236,0
S021,44.506392694063926,27.30811415525114,0.07324171245421246,1035.0259543378995,0
S022,40.432420091324204,27.243251141552513,0.07329680365296803,938.9822648401827,0
S023,43.65707762557078,27.946666666666665,0.07445528120713306,1010.1151552511416,0
S024,44.266666666666666,27.477744292237443,0.07369016918152721,1027.9153515981736,0
S025,45.01735159817352,27.289753424657533,0.07240325091575092,1045.2090410958904,0
S026,38.70365296803653,26.647342465753425,0.07292194787379973,897.6768904109589,0
S027,35.622831050228314,27.780894977168952,0.07356694063926941,821.695305936073,0
S028,32.11643835616438,27.809616438356162,0.07374775641025641,742.6545570776256,0
S029,54.36164383561644,26.95911415525114,0.0729195791399817,1267.4739543378996,0
S030,55.1986301369863,26.779497716894976,0.07285118829981718,1286.394287671233,0
S031,37.61963470319635,27.458383561643835,0.07329587723316537,870.201392694064,0
S032,34.056164383561644,27.66690410958904,0.07316581352833638,787.3431780821918,0
S033,35.727397260273975,27.470616438356164,0.07337570776255709,825.3584885844749,0
S034,43.61232876712329,27.801730593607306,0.07334112534309241,1011.1604885844749,0
S035,38.01780821917808,28.368433789954338,0.0739521043000915,883.4816301369863,0
S036,42.2337899543379,27.656456621004565,0.07330018273184102,980.5446118721462,0
S037,43.04657534246575,27.751141552511417,0.0738127572016461,996.1247305936074,0
S038,47.0365296803653,27.139694063926942,0.07318152720621857,1093.1376438356165,0
S039,38.7689497716895,27.773027397260275,0.07360566986739826,897.8185890410958,0
S040,42.02146118721461,27.656662100456618,0.07392516010978957,975.2058721461186,0
S041,49.45799086757991,27.44586301369863,0.07358079561042524,1151.335205479452,0
S042,49.07442922374429,27.62558904109589,0.07372617633622658,1140.4990502283106,0
S043,37.675342465753424,27.481123287671235,0.07371235132662397,872.7576255707762,0
S044,39.881278538812786,27.742114155251144,0.07350356979405034,925.3420182648401,0
S045,48.18493150684932,27.208310502283105,0.0732211802378774,1122.1724931506849,0
S046,36.73698630136986,27.510438356164382,0.07334413382218148,848.469803652968,0
S047,35.88767123287671,27.781607305936074,0.07378063186813187,831.1291643835617,0
S048,54.17990867579908,27.32188127853881,0.07313525641025641,1258.5743333333332,0
