2025-11-23 17:15:32 - DEBUG - Processing file: 法律条文（已处理）/现行法律_clean/【有效年份：2017-2025】中华人民共和国国歌法.txt, Extracted items: 16
2025-11-23 17:15:32 - DEBUG - Processing file: 法律条文（已处理）/现行法律_clean/【有效年份：2021-2025】中华人民共和国契税法.txt, Extracted items: 16
2025-11-23 17:15:32 - DEBUG - Processing file: 法律条文（已处理）/现行法律_clean/【有效年份：2020-2025】中华人民共和国密码法.txt, Extracted items: 44
2025-11-23 17:15:32 - DEBUG - Processing file: 法律条文（已处理）/现行法律_clean/【有效年份：2018-2025】中华人民共和国人民陪审员法.txt, Extracted items: 32
2025-11-23 17:15:32 - DEBUG - Processing file: 法律条文（已处理）/现行法律_clean/【有效年份：2019-2025】中华人民共和国土壤污染防治法.txt, Extracted items: 99
2025-11-23 17:15:32 - DEBUG - Processing file: 法律条文（已处理）/现行法律_clean/【有效年份：2020-2025】中华人民共和国预防未成年人犯罪法(2020修订).txt, Extracted items: 68
2025-11-23 17:15:32 - DEBUG - Processing file: 法律条文（已处理）/现行法律_clean/【有效年份：2019-2025】中华人民共和国商标法(2019修正).txt, Extracted items: 73
2025-11-23 17:15:32 - DEBUG - Processing file: 法律条文（已处理）/现行法律_clean/【有效年份：2014-2025】中华人民共和国注册会计师法(2014修正).txt, Extracted items: 46
2025-11-23 17:15:32 - DEBUG - Processing file: 法律条文（已处理）/现行法律_clean/【有效年份：2010-2025】中华人民共和国石油天然气管道保护法.txt, Extracted items: 61
2025-11-23 17:15:32 - DEBUG - Processing file: 法律条文（已处理）/现行法律_clean/【有效年份：2024-2025】中华人民共和国突发事件应对法(2024修订).txt, Extracted items: 106
2025-11-23 17:15:32 - DEBUG - Processing file: 法律条文（已处理）/现行法律_clean/【有效年份：2019-2025】中华人民共和国电子商务法.txt, Extracted items: 89
2025-11-23 17:15:32 - DEBUG - Processing file: 法律条文（已处理）/现行法律_clean/【有效年份：2006-2025】中华人民共和国银行业监督管理法(2006修正).txt, Extracted items: 52
2025-11-23 17:15:32 - DEBUG - Processing file: 法律条文（已处理）/现行法律_clean/【有效年份：2025-2025】中华人民共和国全国人民代表大会和地方各级人民代表大会代表法(2025修正).txt, Extracted items: 65
2025-11-23 17:15:32 - DEBUG - Processing file: 法律条文（已处理）/现行法律_clean/【有效年份：1994-2025】中国人民解放军军官军衔条例(1994修正).txt, Extracted items: 35
2025-11-23 17:15:32 - DEBUG - Processing file: 法律条文（已处理）/现行法律_clean/【有效年份：2017-2025】中华人民共和国中医药法.txt, Extracted items: 63
2025-11-23 17:15:33 - DEBUG - Processing file: 法律条文（已处理）/现行法律_clean/【有效年份：2021-2025】中华人民共和国民法典.txt, Extracted items: 1248
2025-11-23 17:15:33 - DEBUG - Processing file: 法律条文（已处理）/现行法律_clean/【有效年份：2019-2025】中华人民共和国建筑法(2019修正).txt, Extracted items: 85
2025-11-23 17:15:33 - DEBUG - Processing file: 法律条文（已处理）/现行法律_clean/【有效年份：2022-2025】中华人民共和国野生动物保护法(2022修订).txt, Extracted items: 64
2025-11-23 17:15:33 - DEBUG - Processing file: 法律条文（已处理）/现行法律_clean/【有效年份：2015-2025】中华人民共和国国家安全法(2015).txt, Extracted items: 84
2025-11-23 17:15:33 - DEBUG - Processing file: 法律条文（已处理）/现行法律_clean/【有效年份：2022-2025】中华人民共和国湿地保护法.txt, Extracted items: 65
2025-11-23 17:15:33 - DEBUG - Processing file: 法律条文（已处理）/现行法律_clean/【有效年份：2017-2025】中华人民共和国境外非政府组织境内活动管理法(2017修正).txt, Extracted items: 54
2025-11-23 17:15:33 - DEBUG - Processing file: 法律条文（已处理）/现行法律_clean/【有效年份：2020-2025】中华人民共和国基本医疗卫生与健康促进法.txt, Extracted items: 110
2025-11-23 17:15:33 - DEBUG - Processing file: 法律条文（已处理）/现行法律_clean/【有效年份：2015-2025】中华人民共和国促进科技成果转化法(2015修正).txt, Extracted items: 52
2025-11-23 17:15:33 - DEBUG - Processing file: 法律条文（已处理）/现行法律_clean/【有效年份：2010-2025】中华人民共和国驻外外交人员法.txt, Extracted items: 48
2025-11-23 17:15:33 - DEBUG - Processing file: 法律条文（已处理）/现行法律_clean/【有效年份：2008-2025】中华人民共和国劳动争议调解仲裁法.txt, Extracted items: 54
2025-11-23 17:15:33 - DEBUG - Processing file: 法律条文（已处理）/现行法律_clean/【有效年份：2016-2025】中华人民共和国反家庭暴力法.txt, Extracted items: 38
2025-11-23 17:15:33 - DEBUG - Processing file: 法律条文（已处理）/现行法律_clean/【有效年份：2018-2025】中华人民共和国企业所得税法(2018修正).txt, Extracted items: 60
2025-11-23 17:15:33 - DEBUG - Processing file: 法律条文（已处理）/现行法律_clean/【有效年份：2021-2025】中华人民共和国审计法(2021修正).txt, Extracted items: 60
2025-11-23 17:15:33 - DEBUG - Processing file: 法律条文（已处理）/现行法律_clean/【有效年份：1990-2025】中华人民共和国领事特权与豁免条例.txt, Extracted items: 29
2025-11-23 17:15:33 - DEBUG - Processing file: 法律条文（已处理）/现行法律_clean/【有效年份：2006-2025】中华人民共和国合伙企业法(2006修订).txt, Extracted items: 109
2025-11-23 17:15:33 - DEBUG - Processing file: 法律条文（已处理）/现行法律_clean/【有效年份：2011-2025】中华人民共和国非物质文化遗产法.txt, Extracted items: 45
2025-11-23 17:15:33 - DEBUG - Processing file: 法律条文（已处理）/现行法律_clean/【有效年份：2020-2025】中华人民共和国出口管制法.txt, Extracted items: 49
2025-11-23 17:15:33 - DEBUG - Processing file: 法律条文（已处理）/现行法律_clean/【有效年份：2013-2025】中华人民共和国传染病防治法(2013修正).txt, Extracted items: 80
2025-11-23 17:15:33 - DEBUG - Processing file: 法律条文（已处理）/现行法律_clean/【有效年份：2015-2025】中华人民共和国商业银行法(2015修正).txt, Extracted items: 95
2025-11-23 17:15:33 - DEBUG - Processing file: 法律条文（已处理）/现行法律_clean/【有效年份：2003-2025】中华人民共和国海关关衔条例.txt, Extracted items: 23
2025-11-23 17:15:33 - DEBUG - Processing file: 法律条文（已处理）/现行法律_clean/【有效年份：2023-2025】中华人民共和国无障碍环境建设法.txt, Extracted items: 72
2025-11-23 17:15:33 - DEBUG - Processing file: 法律条文（已处理）/现行法律_clean/【有效年份：2018-2025】中华人民共和国城市居民委员会组织法(2018修正).txt, Extracted items: 23
2025-11-23 17:15:33 - DEBUG - Processing file: 法律条文（已处理）/现行法律_clean/【有效年份：2022-2025】中华人民共和国陆地国界法.txt, Extracted items: 62
2025-11-23 17:15:33 - DEBUG - Processing file: 法律条文（已处理）/现行法律_clean/【有效年份：2018-2025】中华人民共和国宪法(2018修正).txt, Extracted items: 143
2025-11-23 17:15:33 - DEBUG - Processing file: 法律条文（已处理）/现行法律_clean/【有效年份：2025-2025】中华人民共和国学前教育法.txt, Extracted items: 85
